"# Supplementary Table 1. Representative list of chromatome datasets from whole proteome projects, databases, literature sources and computational predictions about chromatin or nuclear proteins. A short description and the number of proteins is provided for every source.",,,,,,,,,,,
Source of information,"DB, link, data availability","Description of source of information, details of experiment ",,,,Number of proteins (Machine - readable),Year ,Reference,Doi,Notes about number of proteins (Human - readable),Number of processed proteins
Gene Ontology (1),,,,,,,,,,,
Gene Ontology,"Gene Ontology, https://geneontology.org/, available ","Gene Ontology (GO) is the largest knowledgebase of gene functions, containing numerous chromatin-related terms (with ""DNA"", ""histone"", ""transcription"" etc. words), though many are not hierarchically classified under the parent term ""Chromatin"".",,,,2019,2000,"(The Gene Ontology Consortium, 2023)","https://doi.org/10.1038/75556, https://doi.org/10.1093/genetics/iyad031 ",-,-
"Chromatin / Epigenetic regulator databases (total: 6, available: 5)",,,,,,,,,,,
Source of information,"DB, link, data availability",Description,,SimChrom categories,,Number of proteins (Machine - readable),Year ,Reference,Doi,Notes about number of proteins (Human - readable),Number of processed proteins
Chromatin / Epigenetic regulator databases,"ChromDB, http://www.chromdb.org/, unavailable","ChromDB contains chromatin-associated proteins, including RNAi-associated proteins, from a wide variety of organisms, with a particular focus on plants. There is no human data, but it is referenced in a historical context.",,-,,0,2007,"(K. Gendler et al., 2007)",https://doi.org/10.1093/nar/gkm768,-,-
Chromatin / Epigenetic regulator databases,"CR Cistrome, https://compbio-zhanglab.org/CRCistrome/cr.php, available","CR Cistrome integrates curated information of CRs, CR ChIP-seq datasets, CR related HM ChIP-seq datasets, and analysis of the relationship between CRs and HMs ChIP-seq pairs in human and mouse.",,"Histone PTM writers, Histone PTM erasers, Histone PTM readers, Chromatin remodelers.",,59,2013,"(Q. Wang et al., 2013)",https://doi.org/10.1093/nar/gkt1151,-,-
Chromatin / Epigenetic regulator databases,"FACER, http://bio-bigdata.hrbmu.edu.cn/FACER/, available","FACER is a compilation of prioritized functional CRs across multiple cancer types, involving their specific functions, biological categories and their roles in cancers.

",,"Histone PTM readers, Histone PTM writers, Histone PTM erasers, Chromatin remodelers, DNA de_methylation.",,851,2018,"(J. Lu et al., 2018)",https://doi.org/10.1093/nar/gky679,-,-
Chromatin / Epigenetic regulator databases,"CR2Cancer, http://cis.hku.hk/CR2Cancer/, available",CR2Cancer is a comprehensive annotation and visualization database for CRs in human cancer constructed by high throughput data analysis (e.g. TCGA and CCLE) and literature mining (PubMed).,,"Histone PTM readers, Histone PTM writers, Histone PTM erasers, Chromatin remodellers, DNA de_methylation.",,423,2018,"(B. Ru et al., 2017)",https://doi.org/10.1093/nar/gkx877 ,-,-
Chromatin / Epigenetic regulator databases,"CRdb, http://cr.liclab.net/crdb/, available","CRdb is a compilation of prioritized functional CRs across multiple cancer types, involving their specific functions, biological categories and their roles in cancers.

",,"Histone PTM readers, Histone PTM writers, Histone PTM erasers, Chromatin remodelers, DNA de_methylation.",,630,2023,"(Y. Zhang et al., 2022)",https://doi.org/10.1093/nar/gkac960,-,-
Chromatin / Epigenetic regulator databases,"EpiFactors 2022, https://epifactors.autosome.org/, available","EpiFactors is a manually curated database providing information about epigenetic regulators, their complexes, targets. Also contains expression estimates across multiple cell types assessed by CAGE-Seq and curated collection of 124 lncRNAs involved in epigenetic regulation.

Other groups: Polycomb group, Scaffold proteins, Protamins, Readers of RNA modifications.

",,"Histones, Histone PTM readers, Histone PTM writers, Histone PTM erasers, Chromatin remodelers, DNA de_methylation, Histone chaperones, RNA modification, Methylated DNA binding, DNA-binding TFs (only if they have been explicitly shown to have epigenetic function).",,859,2015,"(D. Marakulina et al., 2022)",https://doi.org/10.1093/nar/gkac989,-,858
"Protein class specific sources (total: 25, available: 24)",,,,,,,,,,,
Source of information,"DB, link, data availability",Description,,SimChrom categories,,Number of proteins (Machine - readable),Year ,Reference,Doi,Notes about number of proteins (Human - readable),Number of processed proteins
Protein class specific DBs,"HistoneDB 2.0, https://histonedb.bioeng.ru/, available. HGNC group Histone: https://www.genenames.org/data/genegroup/#!/group/864","HistoneDB 2.0 collects canonical histones and histone variants, their sequence, structural and functional features. 
",,Histones.,,61,2016,"(E. J. Draizen, 2016; R. L. Seal et al., 2022)","https://doi.org/10.1093/database/baw014, https://doi.org/10.1186/s13072-022-00467-2",we missed H2BN1 (P0DW85),60
Protein class specific DBs,"HISTome2, https://www.actrec.gov.in/histome2/Human/index.php, available",HISTome2 contains 14 classes of modifying enzymes and 5 types of PTMs. The information is also available for rats and mice.,,"Histones, Histone PTM writers, Histone PTM erasers. ",,211,2012,"(S. G. Shah et al., 2020)",https://doi.org/10.1186/s13072-020-00354-8,"60 histones, 151 histone - modifying enzymes ",211
