"# Supplementary Table ST10. The number and fraction of housekeeping (HK)/ non-housekeeping (non-HK), low-abundant (LA) and high-abundant (HA) proteins in the whole proteome (PaxDB_INT), NULOC_JT, NULOC_CS, SimChrom and MS-based chromatomes and a nucleome. 
",,,,,,,,,,,,,,,,,
DS,HA,LA,HK,HK_LA,HK_HA,non-HK,non-HK_HA,non-HK_LA,Total,"HK,%","HK_LA,%","HK_HA,%","non-HK,%","non-HK_HA,%","non-HK_LA,%","HA,%","LA,%"
PaxDb_INT,9452,9264,8793,2346,6447,9923,3005,6918,18716,47,13,34,53,16,37,51,49
NULOC_JT,4380,3504,4787,1350,3437,3097,943,2154,7884,61,17,44,39,12,27,56,44
NULOC_CS,1970,1305,2221,604,1617,1054,353,701,3275,68,18,49,32,11,21,60,40
SimChrom,1545,1430,1779,548,1231,1196,314,882,2975,60,18,41,40,11,30,52,48
Itzhak_2016,790,299,868,199,669,221,121,100,1089,80,18,61,20,11,9,73,27
Kustatscher_2014,1587,362,1566,229,1337,383,250,133,1949,80,12,69,20,13,7,81,19
Ugur_2023,1288,432,1309,250,1059,411,229,182,1720,76,15,62,24,13,11,75,25
Shi_2021,2756,83,2404,38,2366,435,390,45,2839,85,1,83,15,14,2,97,3
Ginno_2018,2974,70,2731,43,2688,313,286,27,3044,90,1,88,10,9,1,98,2
Alabert_2014,3554,268,3269,147,3122,553,432,121,3822,86,4,82,14,11,3,93,7
Torrente_2011,1485,10,1342,4,1338,153,147,6,1495,90,0,89,10,10,0,99,1
Alvarez_2023,2744,130,2494,71,2423,380,321,59,2874,87,2,84,13,11,2,95,5
