# Supplementary Table ST12. Abundance data for all histone proteins and non-histone chromatin proteins with abundance values of more than 0.01% of Histone H4.,,,,,,,
SimChrom-SL,Gene,"Abundance relative to histone H4, %",Number of nucleosomes per protein,"Abundance PaxDb_PA, ppm",Entry,Uniquely localized in nucleus,Details (for Figure 4D)
Histones,Histone H4,100.0,0.5,10920.0,P62805,,
Histones,"H4C1,H4C2,H4C3,H4C4,H4C5,H4C6,H4C8,H4C9,H4C11,H4C12,H4C13,H4C14,H4C15,H4-16",100.0,0.5,10920.0,P62805,Yes,
Histones,"H3C1,H3C2,H3C3,H3C4,H3C6,H3C7,H3C8,H3C10,H3C11,H3C12",54.4872,0.92,5950.0,P68431,Yes,
Histones,"H2BC4,H2BC6,H2BC7,H2BC8,H2BC10",26.0989,1.92,2850.0,P62807,Yes,
Histones,"H3-3A,H3-3B",23.1685,2.16,2530.0,P84243,Yes,
Histones,"H2AC11,H2AC13,H2AC15,H2AC16,H2AC17",18.7271,2.67,2045.0,P0C0S8,Yes,
Histones,"H3C15,H3C14,H3C13",18.6264,2.68,2034.0,Q71DI3,Yes,
Histones,"H2AC18,H2AC19",10.4945,4.76,1146.0,Q6FI13,Yes,
Histones,H1-5,8.7546,5.71,956.0,P16401,Yes,
Histones,H1-2,8.5806,5.83,937.0,P16403,Yes,
Histones,H1-4,8.1868,6.11,894.0,P10412,Yes,
Histones,"H2AC4,H2AC8",7.7473,6.45,846.0,P04908,Yes,
Histones,H2AC21,6.9872,7.16,763.0,Q8IUE6,Yes,
Histones,H1-3,6.7949,7.36,742.0,P16402,Yes,
Histones,H2AX,6.5385,7.65,714.0,P16104,Yes,
Histones,H2AC1,6.4377,7.77,703.0,Q96QV6,Yes,
Histones,H2BC11,5.3114,9.41,580.0,P06899,Yes,
Histones,H2BC21,5.3114,9.41,580.0,Q16778,Yes,
Histones,H2BC17,5.3022,9.43,579.0,P23527,Yes,
Histones,H2BC3,5.293,9.45,578.0,P33778,Yes,
Histones,H2AC20,5.2289,9.56,571.0,Q16777,Yes,
