"# Supplementary Table ST17. The conditional probability of EMVI-domains to co-occur in chromatin proteins, grouped by their main functions. ",,,,,,,,,,
,Histone methylation,Histone acetylation,Histone phosphorylation,Histone binding,Chromatin remodeling,DNA methylation,DNA binding,(Di/oligo)merization,RNA binding,Other
Histone methylation,37.8,11.2,0.0,4.9,6.3,4.2,24.5,5.6,1.4,37.8
Histone acetylation,33.3,31.2,0.0,4.2,4.2,2.1,20.8,0.0,4.2,31.2
Histone phosphorylation,0.0,0.0,17.5,0.0,0.0,0.0,0.0,0.0,0.0,12.3
Histone binding,9.6,2.7,0.0,84.9,0.0,2.7,1.4,0.0,0.0,0.0
Chromatin remodeling,13.6,3.0,0.0,0.0,50.0,0.0,6.1,0.0,0.0,13.6
DNA methylation,35.3,5.9,0.0,11.8,0.0,11.8,17.6,0.0,0.0,11.8
DNA binding,3.8,1.1,0.0,0.1,0.4,0.3,68.3,4.2,0.0,2.1
(Di/oligo)merization,12.7,0.0,0.0,0.0,0.0,0.0,61.9,1.6,0.0,0.0
RNA binding,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,49.4,0.0
Other,38.6,10.7,5.0,0.0,6.4,1.4,13.6,0.0,0.0,42.9
