# Supplementary Table ST4. SimChrom classification terms and details about their protein contents,,,,,,,,
#,SimChrom term,GO terms used to build SimChrom DB,Explanation of the selected GO terms to build SimChrom DB,Number of proteins initially extracted from GO without proteins in nested classes (before additional filtration),Databases and literature sources used to add proteins and explanation,Additional filtering applied (* - indicates that proteins belonging to the Histones term were removed),Total number of proteins (with proteins in nested classes),Additional notes 
1,Centromere-associated,GO:0000775,"CC GO:0000775 chromosome, centromeric region",247,,*,241,-
2,Chromatin remodelers,"GO:0140658,GO:0071564,GO:0140092,GO:0071565,GO:0035060,GO:0140091,GO:0110016,GO:0016586,GO:0016514,GO:0140093
","MF GO:0140658 ATP-dependent chromatin remodeler activity

from the child terms of ""BP GO:0006338 chromatin remodeling"" only the following were included:

СС GO:0071564    npBAF complex
СС GO:0140092    bBAF complex
СС GO:0071565    nBAF complex
СС GO:0035060    brahma complex
СС GO:0140091    mBAF complex
СС GO:0110016    B-WICH complex
СС GO:0016586    RSC-type complex
СС GO:0016514    SWI/SNF complex
СС GO:0140093    esBAF complex",73,"[Zhang P.  et al., 2016 https://doi.org/10.2174/1389203717666160122120310]",*,114,There were no new proteins in the SWI/SNF infobase in addition to the GO.  The next version could include the six missing genes from [https://doi.org/10.1146/annurev.biochem.77.062706.153223].
3,DNA (de)methylation ,"GO:0035514,GO:0009008,GO:0070579","MF GO:0035514    DNA demethylase activity
MF GO:0009008    DNA-methyltransferase activity
MF GO:0070579 5-methylcytosine dioxygenase activity",15,-,*,15,-
4,[DNA metabolic processes],-,-,-,-,*,496,"The term includes only proteins from child terms: DNA replication, DNA repair, DNA recombination"
5,DNA recombination,"GO:0035825,GO:0006312","from the child terms of ""BP GO:0006310 DNA recombination""
the following were included:

BP GO:0035825    homologous recombination
BP GO:0006312    mitotic recombination

from the child terms of ""BP GO:0006310 DNA recombination"" the following were not included:

GO:0071139    resolution of DNA recombination intermediates
GO:0045911    positive regulation of DNA recombination
GO:0042150    plasmid recombination
GO:0042152    RNA-mediated DNA recombination
GO:0000713    meiotic heteroduplex formation
GO:0000150    DNA strand exchange activity
GO:0000732    DNA strand displacement
GO:0051102    DNA ligation involved in DNA recombination
GO:0045910    negative regulation of DNA recombination 
GO:0000018    regulation of DNA recombination
GO:0016444    somatic cell DNA recombination
GO:1905951    mitochondrion DNA recombination
GO:0000725    recombinational repair
GO:0045458    recombination within rDNA repeats
GO:1990067    intrachromosomal DNA recombination
GO:0042148    DNA strand invasion
GO:0006313    DNA transposition
GO:0006314    intron homing",78,-,*,78,
6,DNA repair,"GO:0009380,GO:1990391,GO:0097196,GO:0000725,GO:0006290,GO:0006307,GO:0006284,GO:0006289,GO:0006302,GO:0010213,GO:0006301,GO:0000012,GO:0036297,GO:0006298,GO:0070914,GO:0141168","from the child terms of ""BP GO:0006281 DNA repair""
the following were included:

CC GO:0009380 excinuclease repair complex
CC GO:1990391 DNA repair complex
CC GO:0097196 Shu complex
MP GO:0000725 recombinational repair
MP GO:0006290 pyrimidine dimer repair
MP GO:0006307 DNA alkylation repair
MP GO:0006284 base-excision repair
MP GO:0006289 nucleotide-excision repair
MP GO:0006302 double-strand break repair
MP GO:0010213 non-photoreactive DNA repair
MP GO:0006301 postreplication repair
MP GO:0000012 single strand break repair
MP GO:0036297 interstrand cross-link repair
MP GO:0006298 mismatch repair
MP GO:0070914 UV-damage excision repair
MP GO:0141168 chromosomal 5-methylcytosine DNA demethylation, oxidative deamination pathway

from the child terms of ""BP GO:0006281 DNA repair"" the following were not included:

MP GO:0043504 mitochondrial DNA repair
MP GO:0000731 DNA synthesis involved in DNA repair
MP GO:0045739 positive regulation of DNA repair
MP GO:0045738 negative regulation of DNA repair
MP GO:0051103 DNA ligation involved in DNA repair
MP GO:0106300 protein-DNA covalent cross-linking repair
MP GO:0006282 regulation of DNA repair regulates
MP GO:0046787 viral DNA repair",349,-,*,347,
7,DNA replication,GO:0033260,BP GO:0033260 nuclear DNA replication,205,-,*,205,
8,DNA-binding transcription factors,"GO:0000981,GO:0098531,GO:0001217,GO:0001216","from the child terms of ""MF GO:0003700 DNA-binding transcription factor activity"" the following were included:

MF GO:0000981    DNA-binding transcription factor activity, RNA polymerase II-specific
MF GO:0098531    ligand-activated transcription factor activity
MF GO:0001217    DNA-binding transcription repressor activity
MF GO:0001216    DNA-binding transcription activator activity

from the child terms of ""MF GO:0003700 DNA-binding transcription factor activity"" the following were not included:

BP GO:0051090    regulation of DNA-binding transcription factor activity
BP GO:0043433    negative regulation of DNA-binding transcription factor activity
BP GO:0051091    positive regulation of DNA-binding transcription factor activity
MF GO:0016987    sigma factor activity
",1385,-,*,1385,"This term includes only DNA-binding TF, while general TF (TFIIA, TFIIB, TFIID, TFIIE, TFIIF, and TFIIH) are in term: general TF.
Despite the existence of other resources with human TF (e.g. TRRUST v2, HOCOMOCO, The Human Transcription Factors), we used only GO term due to its completness according to [Ruth C. Lovering et al., 2021, https://doi.org/10.1016/j.bbagrm.2021.194765]. "
9,DNA-acting enzymes,GO:0140097,"from the child terms of ""MF GO:0140097 catalytic activity, acting on DNA"" all were included:

MF GO:0051575    5'-deoxyribose-5-phosphate lyase activity
MF GO:0140670    cohesin unloader activity
MF GO:0008094    ATP-dependent activity, acting on DNA
MF GO:0004536    DNA nuclease activity
MF GO:0034061    DNA polymerase activity
MF GO:0106334    3'-deoxyribose phosphate lyase activity
MF GO:0004803    transposase activity
MF GO:0003909    DNA ligase activity
MF GO:0047839    dATP(dGTP)-DNA purinetransferase activity
MF GO:0061775    cohesin loader activity
MF GO:0003906    DNA-(apurinic or apyrimidinic site) endonuclease activity
MF GO:0033958    DNA-deoxyinosine glycosylase activity
MF GO:0033959    deoxyribodipyrimidine endonucleosidase activity
MF GO:0070259    tyrosyl-DNA phosphodiesterase activity
MF GO:0003913    DNA photolyase activity
MF GO:0000150    DNA strand exchange activity
MF GO:0003912    DNA nucleotidylexotransferase activity
MF GO:0019104    DNA N-glycosylase activity
MF GO:0033821    DNA beta-glucosyltransferase activity
MF GO:0043336    site-specific telomere resolvase activity
MF GO:0090580    phosphodiesterase activity, acting on 3'-phosphoglycolate-terminated DNA strands
MF GO:0008907    integrase activity
MF GO:0003916    DNA topoisomerase activity
MF GO:0033820    DNA alpha-glucosyltransferase activity
MF GO:0009008    DNA-methyltransferase activity
MF GO:0035514    DNA demethylase activity",256,-,*,259,
10,[DNA-templated transcription],-,-,-,-,-,1561,"The term includes only proteins from child terms: RNA polymerases, Regulation of transcription (General TFs and DNA-binding transcription factors)"
