"# Supplementary Table ST8. GO enrichment analysis of SimChrom-exclusive proteins (absent in NULOC_CS), n=1208.",,,,,,,,,,,
source,term_name,term_id,highlighted,adjusted_p_value,negative_log10_of_adjusted_p_value,term_size,query_size,intersection_size,effective_domain_size,intersections,unexpected for chromatin
GO:MF,"DNA-binding transcription factor activity, RNA polymerase II-specific",GO:0000981,TRUE,"0,00E-02",323.3062153431158,1360,1142,544,20246,"ERFL,ERF,CDX1,ELF1,ELK1,ASCL5,CTCFL,CREB3L3,ABHD2,BHLHA9,BHLHE23,EVX1,EVX2,BARHL1,ARGFX,BSX,ATF2,ATF6,CUX2,ADNP2,TFAP2D,TFAP2E,ASCL2,GMEB2,NTN1,NKX2-1,NFIA,RBPJL,NR2E3,NFIB,PAX8,RFX5,RFX6,NR2F2,FOXD1,IRF2,IRX4,NOBOX,PAX7,MSGN1,NR1I3,ETV6,NFATC2,POU4F1,HOXC12,HOXC5,HOXC9,PAX9,PAQR7,FOXI3,FOXB2,KLF4,JPH2,NFIX,GLI3,HELT,HDX,HOXA6,NR3C2,MXD1,MXD4,MAFA,MAFF,MAFG,MAFK,MAX,FOXH1,NEUROG2,NFXL1,GFI1,HOXD8,GMEB1,HOXA3,IRF4,FOS,HOXD1,HIC1,HES2,JUN,GABPA,MNX1,MESP2,JUND,FOXI2,HNF4A,GSX2,FOXG1,PDX1,FOXO4,OR51E2,MYF6,PDE3A,PGRMC2,MYOD1,ETS2,DBX1,HOXA5,TCF12,HMX1,HMX2,FOXO6,ONECUT1,HOXA9,NRF1,ONECUT2,NFX1,POU2F2,NFYB,MNT,HOXD9,HEYL,LHX3,LHX6,ETV5,MEOX2,AR,EGR4,HOXA10,IRF5,IRF7,FOXJ2,HOXD3,HOXA1,HOXA11,OLIG1,HSFX3,FOXD4,EN1,DPRX,MEF2B,NFYC,OLIG3,PAX2,OSR1,POU2F1,POU5F1,POU3F4,PAX4,HOXB2,HOXB4,HOXB5,HOXB6,HOXB7,HOXB8,HOXB9,HOXC6,HOXD4,NTN3,PROX2,PGR,PAQR8,MLXIP,NPAS4,PBX4,PAX1,GATA1,GATA2,GATA3,ENO1,FOXO3B,GBX1,HOXB1,NHLH1,GSC2,E2F2,E2F3,E2F4,E2F5,ETV7,DMRTC2,ELK4,DMRTB1,EBF4,DEAF1,DMRT3,FERD3L,DMBX1,CPHXL2,EGR3,BARX2,DMRTA1,GCM1,HOXB3,HOXC4,HOXD10,HOXD11,HOXD12,ATOH7,CC2D1A,FOXJ1,ASCL3,BARHL2,DUXB,ELF2,ELK3,HOXC11,HOXC10,HOXC13,HOXC8,ARX,ASCL4,FOXL1,FOXN2,FOXM1,IRF9,KLF10,KLF12,KLF13,KLF14,KLF17,KLF18,GSC,DBP,FIGLA,E4F1,FOXI1,EN2,ETV2,ETV3L,GTF2IRD1,GTF2IRD2,GTF2IRD2B,HINFP,HOXB13,CREB3,KCNIP3,SALL3,SALL4,DUXA,HOXA4,NKX2-3,PITX3,CRX,CREB3L4,CREB3L2,CPHXL,DMRT1,FOXD3,HOXA7,FEZF2,LRRFIP1,INSM1,NFYA,NFE2,PPARA,HES1,HOXA2,ISL2,IRF3,MSX2,FOXD2,HNF1B,NR4A2,NR4A3,NR5A2,FOXL3,HIC2,RUNX1,PITX1,SKOR1,SOX3,SP4,TFEB,STAT2,TBR1,TGIF2LY,PPARD,SKIL,SAMD7,FOXE1,NKX1-1,NKX6-2,NKX6-3,MSX1,RFX1,POU1F1,MYBL2,POU4F2,POU6F2,FOXN1,GCM2,GPER1,PPARG,FOXE3,SHOX2,TEF,STAT5B,NKX2-2,OLIG2,XBP1,TEAD2,PITX2,RFXAP,SPIB,SPIC,SOX1,SP1,NFIC,POU3F2,SP140L,MLXIPL,NOTCH4,HOXA13,SKI,SP9,TFDP2,TGIF2,RAX,SMAD5,ST18,ANHX,ZBTB25,ZBED3,ZNF845,ZNF525,ZNF37A,TCF24,TGIF1,ZNF750,ZIC3,ZNF727,ZNF823,ZNF431,ZFP92,ZNF132,ZNF93,ZNF99,ZNF189,ZNF107,ZNF100,ZNF624,ZIM3,ZNF718,ZNF700,ZNF595,ZNF880,ZNF48,ZNF599,ZNF761,ZNF157,TPRX1,ZNF705A,ZNF676,ZNF735,ZNF846,ZNF320,ZNF616,ZNF555,ZNF578,ZFP30,ZNF724,ZNF135,ZNF573,ZSCAN21,ZBTB16,ZNF268,ZNF287,ZNF138,ZNF177,ZFP57,ZNF19,ZNF174,ZNF490,MITF,MYCN,TCF7L1,SP7,TBX22,SP2,SP3,STAT4,STAT6,TEAD3,ZNF558,ZSCAN5B,ZSCAN1,ZBTB18,ZNF774,ZNF723,ZNF679,ZNF721,ZIK1,ZNF408,THRB,ZNF620,ZNF728,ZSCAN5A,ZNF682,ZNF395,ZNF716,ZNF808,ZNF211,ZNF534,TCF21,USF3,TAL2,REL,USF2,ZNF705G,PROP1,TEAD4,TCF7,ZNF813,SKOR2,RBPJ,ZNF585A,ZNF730,ZNF770,ZNF141,ZNF229,ZSCAN4,ZBTB39,ZNF675,ZNF844,ZFP42,ZNF479,ZNF43,ZNF347,ZNF350,ZSCAN22,ZNF841,ZNF644,ZNF587B,ZNF705D,ZNF708,ZNF726,ZNF853,ZNF888,ZNF80,ZNF430,ZNF492,ZNF91,ZNF112,ZNF253,ZIC1,TLX1,ZNF563,ZNF550,ZBTB7C,ZBTB17,ZNF852,ZNF70,ZNF208,ZNF101,ZNF316,ZNF552,ZNF418,ZNF397,ZNF681,ZFX,ZNF502,ZNF69,ZNF98,ZNF493,ZKSCAN3,ZNF28,ZNF227,ZNF491,ZNF232,ZNF74,ZNF454,ZNF66,ZNF648,ZNF765,ZNF611,SRY,THRA,ZBTB32,ZNF530,ZNF883,TBX4,ZNF766,ZNF148,ZNF23,ZNF345,ZFP2,TEAD1,ZNF699,ZNF732,ZNF396,PRRX1,SCX,SOHLH2,HIVEP2,ZNF600,RELA,ZNF486,TWIST1,ZNF202,ZNF468,ZNF485,PURA,TFAP4,ZNF772,ZSCAN5C,SOX14,TBX21,ZNF17,ZNF506,ZNF254,ZNF467,ZBTB26,TPRX2,ZNF785,ZNF836,ZNF814,ZNF175,ZKSCAN5,ZNF81,ZNF7,ZNF284,ZNF669,ZNF764,ZFP90,ZIC2,ZNF311,ZFY,ZNF729,ZNF722,ZNF439,USF1,ZNF736,ZIC5,ZSCAN23,ZNF391,VSX2,ZNF257,ZBTB3,ZNF737,KLF6,JUNB,MXI1,MSC,NACC1,MYOG,MYT1L,MYT1,MZF1,NEUROD1,NEUROD2,NEUROD4,NEUROD6,NFKB1,NFKB2",FALSE
GO:MF,sequence-specific DNA binding,GO:0043565,TRUE,"0,00E-02",323.3062153431158,1657,1142,574,20246,"ERFL,ERF,CDX1,ELF1,ELK1,ASCL5,CTCFL,CREB3L3,BRD7,BHLHA9,BHLHE23,EVX1,EVX2,BARHL1,ARGFX,BSX,ATF2,ATF6,APEX1,CUX2,BPTF,TFAP2D,TFAP2E,ASCL2,FBXL19,GMEB2,NTN1,NKX2-1,NFIA,DRAP1,RAD23B,RBPJL,NSD1,NR2E3,NFIB,PAX8,RFX5,RFX6,NR2F2,FOXD1,IRF2,IRX4,NOBOX,PAX7,MSGN1,MBD3L1,NR1I3,ORC4,ETV6,NFATC2,POU4F1,HOXC12,HOXC5,HOXC9,PAX9,FOXI3,FOXB2,KLF4,NFIX,GLI3,HELT,HDAC4,HDX,HOXA6,NR3C2,MXD1,MXD4,MAFA,MAFF,MAFG,MAFK,MAX,FOXH1,NEUROG2,NFXL1,GFI1,HOXD8,GMEB1,HOXA3,IRF4,MBD3,FOS,HOXD1,HIC1,HES2,JUN,GABPA,MNX1,MESP2,JUND,FOXI2,HNF4A,MBD3L5,GSX2,FOXG1,PDX1,FOXO4,MYF6,MYOD1,ETS2,HOXA5,TCF12,HMX1,HMX2,FOXO6,ONECUT1,HOXA9,MBD3L2B,NRF1,ONECUT2,NFX1,POU2F2,POU6F1,NFYB,MNT,HOXD9,HEYL,LHX3,LHX6,ETV5,MEOX2,AR,EGR4,HOXA10,IRF5,IRF7,FOXJ2,HOXD3,HOXA1,HOXA11,OLIG1,HSFX3,FOXD4,EN1,DPRX,MEF2B,NFYC,MBD3L3,NCL,OLIG3,PAX2,OSR1,POU2F1,POU5F1,POU3F4,PAX4,HOXB2,HOXB4,HOXB5,HOXB6,HOXB7,HOXB8,HOXB9,HOXC6,HOXD4,NTN3,PRDM9,PROX2,PGR,MLXIP,NPAS4,PBX4,PAX1,UPF1,GATA1,GATA2,GATA3,ENO1,FOXO3B,GBX1,HOXB1,NHLH1,GSC2,E2F2,E2F3,E2F4,E2F5,ETV7,DMRTC2,ELK4,DMRTB1,EBF4,DEAF1,DMRT3,FERD3L,DMBX1,CPHXL2,EGR3,BARX2,DMRTA1,GCM1,HOXB3,HOXC4,HOXD10,HOXD11,HOXD12,ATOH7,CC2D1A,FOXJ1,ABL1,ASCL3,BARHL2,DUXB,ELF2,ELK3,MBD4,HOXC11,HOXC10,HOXC13,HOXC8,ARX,ASCL4,FOXL1,FOXN2,FOXM1,IRF9,KLF10,KLF12,KLF13,KLF14,KLF17,KLF18,GSC,HMGA2,DBP,FIGLA,E4F1,FOXI1,EN2,HDAC5,ETV2,ETV3L,GTF2IRD1,HINFP,HOXB13,CDK9,CREB3,KCNIP3,SALL3,SALL4,POLRMT,DUXA,HOXA4,KIF2C,NKX2-3,PITX3,CRX,CREB3L4,CREB3L2,CPHXL,DMRT1,FOXD3,HOXA7,FEZF2,LRRFIP1,MBD3L4,HMGA1,INSM1,NFYA,MBD3L2,NFE2,PPARA,HES1,HOXA2,ISL2,IRF3,MSX2,FOXD2,HNF1B,NR4A2,NR4A3,NR5A2,ORC2,FOXL3,HIC2,RUVBL2,RUNX1,PITX1,TAF4,SKOR1,SOX3,SP4,TFEB,STAT2,TBR1,TGIF2LY,PPARD,SKIL,FOXE1,NKX1-1,NKX6-2,NKX6-3,MSX1,RFX1,RFC1,POU1F1,TAF1B,TAF1C,TAF2,MYBL2,POU4F2,POU6F2,FOXN1,GCM2,PPARG,FOXE3,SHOX2,SIRT3,SMARCB1,RPS3,TEF,TELO2,STAT5B,NKX2-2,OLIG2,XBP1,TEAD2,PITX2,RFXAP,MTA1,SPIB,SPIC,SOX1,SP1,NFIC,POU3F2,MLXIPL,NOTCH4,HOXA13,SKI,SP9,SUV39H1,TFDP2,TGIF2,RAX,SMAD5,ST18,ANHX,ZBTB25,ZNF845,ZNF525,ZNF37A,TCF24,GTF2A1,TGIF1,ZNF750,ZIC3,ZNF727,ZNF823,ZNF431,ZFP92,ZNF132,ZNF93,ZNF99,ZNF189,ZNF107,ZNF100,ZNF624,ZIM3,ZNF718,ZNF700,ZNF595,ZNF880,ZCWPW1,ZNF48,ZNF599,ZNF761,ZNF157,ZNF705A,ZNF676,ZNF735,ZNF846,ZNF320,ZNF616,ZNF555,ZNF578,ZFP30,ZNF724,ZNF135,ZNF573,ZSCAN21,ZBTB16,ZNF268,ZNF287,ZNF138,ZNF177,YBX1,ZFP57,ZNF19,ZNF174,ZNF490,MITF,MYCN,THAP9,TCF7L1,SP7,TBX22,SP2,SP3,STAT4,STAT6,SUV39H2,TEAD3,ZNF558,ZSCAN5B,ZSCAN1,ZBTB18,ZNF774,ZNF723,ZNF679,ZNF721,ZIK1,ZNF408,THRB,ZNF620,ZNF728,ZSCAN5A,ZNF682,ZNF395,ZNF716,ZNF808,ZNF211,ZNF534,TCF21,USF3,TAL2,TERF1,REL,USF2,ZNF705G,PROP1,TEAD4,TCF7,ZNF813,SKOR2,RBPJ,ZNF585A,ZNF730,ZNF770,ZNF141,ZNF229,ZSCAN4,ZBTB39,ZNF675,ZNF844,ZFP42,ZNF479,ZNF43,ZNF347,ZNF350,ZSCAN22,ZNF841,ZNF644,ZNF587B,ZNF705D,ZNF708,ZNF726,ZNF853,ZNF888,ZNF80,ZNF430,ZNF492,ZNF91,ZNF112,ZNF253,ZIC1,TLX1,ZNF563,ZNF550,TSNAX,ZBTB7C,ZBTB17,ZNF852,ZNF70,ZNF208,ZNF101,ZNF316,ZNF552,ZNF418,ZNF397,ZNF681,ZFX,ZNF502,ZNF69,ZNF98,ZNF493,ZKSCAN3,ZNF28,ZNF227,ZNF491,ZNF232,ZNF74,ZNF454,ZNF66,ZNF648,ZNF765,ZNF611,SRY,THRA,ZBTB32,GTF3C5,ZNF530,ZNF883,TBX4,ZNF766,ZNF148,ZNF23,ZNF345,ZFP2,TEAD1,ZNF699,ZNF732,ZNF396,PRRX1,SCX,SOHLH2,HIVEP2,ZNF600,RELA,ZNF486,TWIST1,ZNF202,ZNF468,ZNF485,PURA,TFAP4,ZNF772,ZSCAN5C,SOX14,TBX21,ZNF17,ZNF506,ZNF254,ZNF467,ZBTB26,ZNF785,ZNF836,ZNF814,ZNF175,ZKSCAN5,ZNF81,ZNF7,ZNF284,ZNF669,ZNF764,ZFP90,ZIC2,ZNF311,ZFY,ZNF729,ZNF722,ZW10,ZNF439,USF1,ZNF736,ZIC5,ZSCAN23,ZNF391,VSX2,ZNF257,ZNF737,KLF6,JUNB,MXI1,MSC,NACC1,MYOG,MZF1,NEUROD1,NEUROD2,NEUROD4,NEUROD6,NFKB1,NFKB2",FALSE
GO:MF,transcription factor binding,GO:0008134,TRUE,3.203794155898008e-48,47.49433539515629,599,1142,142,20246,"ELK1,ASCL5,C1QBP,BRD8,ACTB,HDAC11,CREBBP,ATF2,ASCL2,NKX2-1,NFIA,DRAP1,RAD23B,NSD1,RBFOX2,KAT2A,POU4F1,CTNNB1,DCAF1,KLF4,HDAC4,NR3C2,MAX,FOXH1,FOS,LMO4,JUN,JUND,HNF4A,FOXO4,MYOD1,ETS2,TCF12,HMGN3,MAP3K7,DAPK3,NEK6,NFYB,LHX3,METTL23,EED,AR,MED4,PADI2,NOC2L,DR1,PAX2,POU5F1,PGR,KAT6A,GATA1,GATA2,GATA3,ENO1,ANKRD2,BTAF1,CENPF,DMAP1,EBF4,GSK3B,HOXC13,GSC,HMGA2,FIGLA,E4F1,HDAC5,HDAC7,HDAC8,HIRA,CDK9,CREB3,DNAJA3,EHMT1,CRX,HOXA7,MED6,HMGA1,PPARA,HES1,PHF1,HNF1B,NR4A2,NR4A3,NR5A2,RUVBL2,RUNX1,PITX1,GTF2F1,TAF4,GTF2A2,SMARCA1,PPARD,RFC1,POU1F1,TAF11,TAF12,TAF1B,TAF1L,PPARG,MED24,NCOA3,SETD3,SMARCB1,RPS3,STAT5B,XBP1,TEAD2,PITX2,PKN1,MTA1,SP1,MLXIPL,SKI,TFDP2,THAP7,GTF2A1,GTF2H1,ZBTB16,TLE4,SP3,STAT6,TEAD3,THRB,TCF21,USF2,TFDP3,RUVBL1,RBPJ,ZNF644,ZBTB17,ZNF547,SLC30A9,STK4,SRY,THRA,PRRX1,SCX,RELA,TWIST1,PURA,USF1,NEUROD1",FALSE
GO:MF,"catalytic activity, acting on DNA",GO:0140097,TRUE,2.8205419700355745e-44,43.54966743353148,260,1142,90,20246,"UNG,ALKBH4,AEN,CHTF8,C1QBP,POLD4,POLE2,DFFB,APEX1,APEX2,DICER1,DHX30,BPTF,DCLRE1B,CECR2,RAD51D,RAD54B,ISG20,MEIOB,MSH3,PLD3,MGME1,FTO,MGMT,DDX1,EXD2,MYO18A,POLG,MYD88,POLG2,EXOG,POLE,TWNK,HFM1,PLD4,UPF1,ATRX,FEN1,FBH1,DNASE2,DNASE2B,DNASE1L1,DNASE1L2,DNASE1L3,BTAF1,DNASE1,G3BP1,MBD4,HMGA2,ENDOV,EME1,EME2,ERCC3,ERCC6L2,LIG1,DNA2,POLB,METTL4,ERCC6L,HMGA1,MSH5,RUVBL2,SMARCA1,SMARCAD1,NME1,RFC1,ENDOG,NTHL1,SHPRH,RPS3,MSH4,TEFM,SUPV3L1,ASCC3,TOP3B,SPO11,PTGES3,THAP9,TOP1MT,WAPL,TERF1,RUVBL1,TOP3A,ZGRF1,TREX2,TET2,TREX1,XRCC3,TTF2,N4BP2",FALSE
GO:MF,histone modifying activity,GO:0140993,TRUE,1.0496479376951068e-24,23.97895634317321,196,1142,59,20246,"PRMT9,AURKA,BUB1,CREBBP,ATF2,EEF1AKMT3,PRMT8,ANTKMT,FBXL19,NSD1,NAP1L2,KAT2A,PADI4,VCPKMT,DCAF1,KDM7A,HIPK4,KMT5C,NAA60,HR,JADE2,FBLL1,ING3,EEF2KMT,KAT14,MAP3K7,EEF1AKMT1,KDM4E,METTL23,RPS6KA5,PADI2,MSL2,METTL21A,PRDM9,KAT6A,PRMT3,HDAC8,CDK2,EHMT1,EYA2,TRIM37,PRKCA,TAF1L,NCOA3,PRDM7,SMYD1,SETD3,PKN1,SUV39H1,BRPF1,ATPSCKMT,PRKAA1,TGM2,USP51,SUV39H2,USP49,GTF3C4,SMYD2,SMYD5",FALSE
GO:MF,histone binding,GO:0042393,TRUE,2.244212681658119e-9,8.648935987837602,242,1142,44,20246,"CTCFL,BRD7,BRD9,BRDT,BPTF,DNAJC2,HJURP,NAP1L2,NAP1L1,HPF1,KDM7A,HDAC4,KMT5C,JMJD7,ING3,NOC2L,RBBP7,ATRX,FMR1,ING5,MLLT1,HIRA,HINFP,DPPA3,PHF1,SAMD7,TAF1L,SET,PKN1,SMARCC2,THAP7,CTSL,CDYL2,PHF13,USP51,PHF6,ZCWPW1,PTMS,SPIN3,SPIN4,USP49,PHF19,ZZEF1,ZCWPW2",FALSE
GO:MF,general transcription initiation factor activity,GO:0140223,TRUE,4.862841530032706e-9,8.313109882961891,62,1142,21,20246,"CCNH,DRAP1,DR1,PAAF1,GTF2F1,TAF4,TAF5,GTF2A2,TAF11,TAF12,TAF1C,TAF1L,TAF2,GTF3C3,GTF2H4,GTF2A1,GTF3C4,GTF3C2,GTF3C5,PRRX1,GTF3C1",FALSE
GO:MF,histone deacetylase binding,GO:0042826,TRUE,8.870881046822329e-7,6.0520332443428835,127,1142,27,20246,"KAT2A,HSP90AB1,KLF4,GLI3,HDAC4,HIC1,HOXA10,MEF2B,GCM1,HSP90AA1,HDAC5,MIER1,INSM1,HES1,PKN1,MTA1,SP1,THAP7,PHF6,SP2,TCF21,SKOR2,RELA,TWIST1,TFAP4,USF1,NACC1",FALSE
GO:MF,transcription coregulator activity,GO:0003712,TRUE,0.000006739340701174103,5.171382587714999,491,1142,60,20246,"C1QBP,BRD7,BRDT,CREBBP,APEX1,ARRB1,FBXL19,NSD1,RBFOX2,KAT2A,CTNNB1,NUP98,HYAL2,KDM7A,HDAC4,IRF4,LMO4,MED7,DDX1,HR,MED15,MED4,NOC2L,TRIP13,POU2AF1,KAT6A,ENO1,ABT1,BTAF1,DMAP1,ABL1,HMGA2,ELANE,HDAC7,HIRA,CEBPZ,MIER1,MED6,HMGA1,MED20,RUVBL2,TRIM37,TAF11,TAF12,MED24,NCOA3,SMYD1,SETD3,SMARCB1,MTA1,SMARCC2,CDYL2,ZIC3,TLE4,WWOX,RUVBL1,TLE3,SF1,ZNF764,NFKB1",FALSE
GO:MF,single-stranded DNA binding,GO:0003697,TRUE,0.00003397244207649319,4.46887323316456,122,1142,24,20246,"BARD1,RAD51D,RAD23A,RAD23B,RBMS1,MEIOB,MSH3,POU4F1,TWNK,FBH1,HMCES,SMARCA1,RNF138,SHOC1,RPA3,WDR48,YBX1,SSBP1,TERF1,TOP3A,TSNAX,WBP11,TREX1,PURA",FALSE
