"# Supplementary Table ST9. GO enrichment analysis of NULOC_CS-exclusive proteins (absent in SimChrom), n=1459.",,,,,,,,,,
source,term_name,term_id,highlighted,adjusted_p_value,negative_log10_of_adjusted_p_value,term_size,query_size,intersection_size,effective_domain_size,intersections
GO:MF,protein binding,GO:0005515,TRUE,8.780424791317358e-58,57.05648447269727,15123,1423,1298,20246,"USP26,TTF1,ZNF385A,BANP,KCTD13,AKIRIN1,AKT1,ALKBH6,ARID3B,ARID4B,C2ORF49,PYCARD,EWSR1,CTDP1,COPS5,ERBIN,EPM2A,EPB41,DCUN1D4,DCAF17,DCANP1,KCTD10,BRAT1,BTBD10,MLLT6,AAAS,AEBP2,CCDC117,ANAPC11,ARID5A,CDK20,ASPSCR1,CDKN1A,CCNT2,ELL3,CPNE2,AIPL1,MLLT11,CCDC86,CCDC89,ANXA11,CCND3,CDK5R1,ANKRD11,ANKRD54,CWC25,CTBP1,CTBP2,COPS3,COPS6,COPS7A,COPS9,NEDD9,CCDC62,CCNO,DNPH1,APOBEC3B,A1CF,BEX4,BAG6,AKAP8,ACTRT3,BNC2,ALKBH8,CIITA,CDC14A,ANKRD1,CLK2,AKIRIN2,BAZ2B,ARHGEF5,ARGLU1,CFAP36,EPN3,GTPBP4,BTRC,GPS2,AKIP1,BCORL1,CDKN2A,CCNI,CCNK,CMIP,CAMTA2,CIAPIN1,CPNE3,CSTB,SPECC1,DGKQ,DPPA4,ABITRAM,BIRC3,BIRC7,BIVM,COMMD5,CUEDC2,GLE1,ADIRF,APPBP2,ARIH2,CCND1,API5,ANP32A,ANP32B,ATAD2,CGGBP1,CCNT1,CDADC1,CDC26,CWC15,DCAF6,DEDD,DEDD2,AHDC1,ALG14,ANKRD12,ATXN1,CDKN2D,CCNL1,DET1,DHRS4,DPH1,BMP2K,BMS1,BCOR,AGTPBP1,DAZAP1,CGAS,DNAJB1,CDK13,CTNND2,DCUN1D1,DCUN1D3,DCUN1D5,DDX25,EAF1,DVL2,ECD,DYRK1B,EEF1D,ARMCX3,PPP1R13B,RPS19BP1,ASXL1,ASXL2,ARMC12,ABI2,AKAP8L,CCNB3,ANKRD37,ESRP1,HP1BP3,MLIP,NUP50,MKRN2,MAP2K4,DENND4A,NANOS3,NUBP2,LMO2,RAE1,RNF7,RBMY1A1,R3HDM2,RANBP3,RBM12,RANBP9,RCOR2,RCOR3,RCBTB1,RCC1,RAI14,RANBP17,RANBP2,RBM11,RBPMS,RBM20,RAN,RBM24,RBM38,RBM3,RBM45,RBM47,MTAP,OLFM2,PPIL2,NSRP1,NOLC1,NOL12,PPP2R3B,RASD1,QRICH1,ARHGAP39,RGS10,RGS6,ECT2,FAM107A,FMN1,GON7,INTS4,INTS6,INTS8,IMP4,INTS9,IWS1,ITPKC,NVL,PARPBP,PSMB4,PUM3,PSMB6,PSMB7,GNAQ,INTS10,INTS12,INTS13,LBR,HNRNPDL,PPIL4,PARN,L3MBTL3,LEMD3,MOB2,NOSIP,RANGRF,NUB1,NOL11,PPP2R3C,RDM1,RBKS,ABHD14B,NET1,ARIH1,ANAPC5,CCNC,CCND2,ANXA1,CCNG1,ANKRD34B,OARD1,PAXIP1,TENT4B,FKBP5,HCFC1,MAML1,MFSD10,MAPK1,MAPK9,NOL9,ELOA2,CASK,DAZAP2,MBD6,MINDY3,KPNA3,KATNBL1,LMNA,MFAP1,MFAP3L,MICAL3,FLII,HIRIP3,HCFC2,HSPB6,LSM10,NFKBIZ,LIN9,MAEA,MED12L,MAF1,MAGEA10,MAGEA11,MDC1,MAGEC2,MAPKAPK2,MAPKAPK3,HSPB2,MAPK10,LDOC1,LIMD2,NEDD8,NFS1,NCBP1,NGRN,NEK1,RNGTT,NELFA,NELFCD,NELFE,MAML3,LSM2,BLZF1,INKA2,MEPCE,INTS1,IP6K2,MALT1,NUDT16,GEMIN8,INTS11,LEMD2,MTUS1,RUNX1T1,LRR1,NAIF1,NAB2,EIF1AD,FUBP1,DTX2,GPBP1L1,EDRF1,HIPK1,NFKBID,MAPK4,MAPK14,MAPK15,DST,HORMAD2,HSPB9,ISY1,RPS6KA3,LMNB2,MYG1,LRP1,METTL14,CFAP20,ATXN1L,HINT3,HSPB8,MAGOH,IQSEC1,IPO11,LCORL,EZHIP,GABPB1,ZFPM2,EIF4E,JAZF1,LDB2,LANCL2,LMNB1,LLPH,LOXL2,CWC22,BCCIP,CASP6,CDKN2AIP,DDX54,DDX56,DAG1,C1D,CFL2,FEM1B,HEXIM1,CAND1,COMMD10,HABP4,NFKBIB,EBNA1BP2,EID1,GPATCH3,HNRNPH2,IRF2BPL,CBFA2T2,PER2,PCYT1A,PCNP,PDCD2,PDCD4,PDCD6,PIN1,PCBD1,PLSCR2,PNRC1,PNRC2,IFI35,KLHDC10,JRK,LCOR,LTC4S,NXF1,NUDT5,PARK7,KCTD1,PDZD7,NAA10,NEK7,NLRP1,NEMP1,NAV3,CACYBP,GPS1,COPS4,CTDSP1,DCAF8,PIR,NPLOC4,FGF14,FUBP3,FYB1,ZFPM1,HNRNPUL2,KIF20B,MAP3K2,LSM3,MRTFB,NRDE2,ODAM,AUTS2,COPRS,DEPDC1,DPH3,ISG20L2,PEG10,NEK11,NCBP3,NELFB,JPT1,LAGE3,NRIP1,MPHOSPH10,FAM76B,KNOP1,L3MBTL4,MED12,METTL18,NRM,ELP1,EIF5A,KLHL7,RPS6KA6,LHPP,MEFV,MOB1B,ANKRD49,ANG,ELAVL1,MKI67,OTUD7A,PYM1,PSMA1,PRDM10,PRDM12,PTPN11,HINT1,HOPX,NFKBIL1,POGK,NLK,NOL8,OAS1,NUP62,NUSAP1,PARP4,PAXBP1,PIMREG,PRR13,COMMD8,DDX18,DDX31,DNAJC21,MSL1,CBFA2T3,NR0B2,NSFL1C,OSGEP,RNF113A,UBA52,ADARB1,GRB2,HELZ,HDGFL3,IKZF2,MEIOSIN,MSI1,PHC3,PHF14,DXO,GPN1,IPMK,MYOCD,NRBF2,PRPF39,HEMGN,LMCD1,MCIDAS,CDC25C,NPHP4,OTULINL,RBBP5,NUP42,PIK3C2B,PCBP2,OTUD3,POM121C,PRR7,PPM1E,GCKR,CBLL1,KPNA2,NR0B1,PPARGC1A,NUP54,MAML2,METTL5,DLST,LGALS13,PPP1R16B,POP1,POP5,POP7,PRICKLE1,PARP11,POM121,PLCB3,FBXO38,HSPB7,ITCH,PCID2,PUS10,UPF3B,BTBD18,CDKL2,COMMD9,FRK,DNAJB6,DDIT3,GSKIP,EMP2,ENOPH1,ESS2,ARMC8,CPS1,CEMP1,CDK2AP2,CHCHD1,MCC,EYA4,FHIT,FHL3,FAM124B,HIKESHI,HTT,ILRUN,IL33,IL37,CLNS1A,CASC3,PCIF1,DOCK10,CCDC106,CABLES1,CPEB3,GCHFR,GCFC2,ELOA,CDKN1C,CDIN1,CDK4,CRTC1,FAM193B,CTDSPL,CTDSP2,FCF1,FBXO5,DBF4B,FBXL3,FBXO7,CCNL2,STUB1,CRTC2,CRTC3,GADD45A,EEF1A2,FAM50A,FBXL17,BTBD8,AXIN1,BCLAF1,CDK5RAP3,CMYA5,COQ7,DNAJB12,GEMIN7,INTS14,CCNA1,CRADD,FBXW7,ILF2,ILF3,GID8,CUL2,CARD8,CBX7,CBS,DIDO1,DHX33,BAHD1,AKNA,ARL6IP4,ELOC,DLD,FAM98B,BRSK1,BRWD1,CASP8,DEF6,DNAJC9,DNAJC17,EID2,FAM169A,ATF7IP,MDFI,MAB21L2,MACROD1,KPNB1,FIZ1,MBNL2,MBNL3,LYAR,RNMT,LYPLA1,MAPKBP1,LYRM4,LSM7,LSM8,NAA38,ATE1,CUTC,DNAJC8,DNAJC7,DND1,DUSP3,GET3,IMP3,IP6K1,FGF2,GADD45GIP1,GNL3,CMPK1,KIF4A,KANSL2,KANSL3,KHDC4,KLHDC2,BRMS1L,CACTIN,COPS8,DCK,DDX53,CCDC174,CAPG,CPEB1,GCNA,EMSY,ELP5,EMD,DPY30,ELP2,EGLN2,FAF1,HORMAD1,HSPA1A,ATRIP,CRYAA,CSDC2,DCTPP1,DGKZ,ELP4,FKBP4,WTAP,CCNA2,DDX3Y,GPATCH2,GRAP2,FBXO32,GEMIN6,BANF1,BAG3,CASP14,C1ORF174,CAND2,CDK8,CDKL5,CGRRF1,DERA,DHX37,DUSP4,DUSP12,PNMA1,PPIE,PPP1R7,RSC1A1,SDCBP,RRAGD,SCAF4,SCAF8,SCNM1,S100PBP,SCAPER,CDC27,INAVA,NOC4L,PPRC1,PSMA4,PPHLN1,PSMB1,CIAO2B,DYRK3,ECSIT,IKZF4,NOCT,NTAQ1,CPNE1,DPPA2,FAM120B,IRF2BP1,MIF4GD,MLF2,NR2C2AP,NKAP,OSBPL3,PTPN13,PTEN,OGT,NUMA1,PCGF1,PHAX,PIAS2,HNRNPUL1,LUC7L2,INCA1,EEF1E1,NOVA1,NUP35,PHF20,IER2,IPO8,NUP88,MAP2K6,NXT1,OGFR,MN1,TESMIN,MSRB1,RPP25,RPP40,MEX3B,NRIP2,MIDN,MRFAP1,PKP1,FGF12,FANK1,GABPB2,IER5,PWWP3A,REXO4,RTF1,RASL11A,SNRNP70,RRN3,NLE1,TSEN2,UTP11,UTP23,RBM6,RBM7,RBFOX1,RFPL1,UBOX5,SH2B1,STRADA,SSBP2,SRC,SCML1,SERGEF,TRIM27,TRIM33,TRIM35,TRIM41,TRNAU1AP,RRAGC,TCEANC2,RMND5A,RP9,RNF38,SNIP1,SMYD4,SESN1,STK40,SSBP3,SRRM2,SYF2,TCEAL8,RPP38,RUFY2,SGK2,SEPTIN4,TSEN54,STIP1,PRDM14,PRAME,PRCC,PRKN,PTBP2,SGTA,SH3D19,USP39,SPAG7,SPATS2L,RNF151,RNF187,TMEM120B,SYNE1,SYNE2,SYNE3,SNRPC,TSC22D3,TADA2B,TCOF1,ALOX5,MAB21L1,NCOA7,NUPR1,PHF7,RBL1,RPL3,RGS22,RESF1,RIT2,SAMSN1,KPNA1,PSME3IP1,UPF3A,GAPDH,GNL3L,HEXIM2,PPID,PSMD11,GCH1,NCOR1,PDIK1L,PRR14,PPWD1,RYBP,SCAND1,SMG1,SNRNP27,MDM2,NICN1,PHF12,PRC1,PRRC2A,PPARGC1B,PSMB2,RNF126,RNF13,SLTM,SENP1,RNF6,POP4,SETSIP,SETD6,SIN3B,SIK1,SHOC2,SIPA1,SHQ1,SIAH2,S100B,S100A4,RPL5,SECISBP2,SNRPB,CCDC59,SAE1,SELENBP1,TENM2,SPINDOC,MRI1,MYCBP2,NAMPT,NUAK1,NOL3,NOM1,PELO,PPP1R26,PTTG2,WAC,WDR13,SURF6,SUMO1,S100A11,SUPT5H,RERE,RPL23A,RNF220,TSC22D1,SH3BGRL3,SKIV2L,SNUPN,SUPT7L,SRPK1,DRG2,ESRP2,HYPK,INTS5,PIK3CB,SRSF8,SYCE2,NFATC2IP,RBIS,RACGAP1,SOD1,SOCS1,STYX,SUPT4H1,DZIP1,CAMK1D,MRTFA,NOL4,TBL1XR1,RITA1,RPF2,TMEM176B,SDCBP2,SAFB,ARHGAP22,SCMH1,TENT5C,SMCR8,SNF8,SSH3,SPANXC,U2SURP,SERTAD3,TCL1A,AURKAIP1,AKAP17A,MLLT10,AFF1,ADRM1,CCDC110,AMMECR1,ARL6IP6,ARID3A,ARID5B,CDCA4,CELF4,CITED1,CIART,CITED2,CAMKMT,CIPC,CLP1,CILK1,CIRBP,CTNNBIP1,CNBP,CHP2,TESC,CLSPN,CLUAP1,CLASRP,C11ORF54,CNOT11,CNOT10,CAMK2N2,CNOT2,MORN2,RRP7A,TXN,VGLL4,TCF19,TRAK1,TLE5,UFSP2,PSME3,TP53TG5,SUGP1,PIAS3,SINHCAF,SMURF2,SNURF,SKP2,SPATA33,SPG11,TBL1X,TNIP2,ZNF511,ZC3HC1,ZNF667,SHFL,SENP3,TXNRD1,PSMA6,RPF1,FYTTD1,THEMIS,TUBD1,TIGD3,ZNF707,ZNF567,RNF14,UBD,STK19,ZXDB,ZNF414,WDR74,SPATA2,ZNF653,TIMM50,ZNF488,ZC3H3,ZCCHC8,ZNF497,YPEL5,CSE1L,USP21,UBE2QL1,UTP14C,XPO4,ZNF383,ZNF223,ZXDC,ZC3H12A,ZNF691,UBE3A,UBXN2B,TOR1A,UBE2I,TOR1AIP1,UBAP2L,RGS12,RNPC3,UXT,SPEN,NUFIP1,PBXIP1,NAA11,RNF112,SPHK2,SAPCD2,DNTTIP1,TIGD1,PRR19,PPM1H,PSPC1,PYROXD1,RNF34,RSL1D1,HNRNPA0,RPRD1A,SCML2,SERTAD2,SPANXD,TASL,TMEM250,KCTD15,PHLDA1,PTPA,SH3BGRL2,SCAF1,SYCE1,TSPYL1,STOX1,TUT1,STPG4,SAP30L,STX1B,TRIB3,RNF4,SF3B6,SPRED1,SSBP4,STAMBP,SPOCD1,PSMC3,RNF10,THAP5,TRIM25,UBQLN1,TNPO2,ZC3H11A,ZNF592,ZNF410,RTCA,THEMIS2,SPATA24,SRA1,SUPT20H,STAP1,FLT4,TBC1D1,FSBP,MLF1,PLAA,SNRNP25,SFMBT2,SUFU,TCEAL5,YAF2,ZBTB44,UBE2O,TPP2,TIGD4,TTC5,ZNF710,RSL24D1,RPP25L,UBE2T,XPO5,SNRNP35,TTC3,SCAI,TEX10,SLU7,SENP6,DHX38,PRPF40B,PRPF38A,PTTG1IP,TACC2,TCEA3,VRK3,RGS14,RFPL3,STH,TOX3,TRAF4,TMEM201,TRIM26,USP28,ZNF385B,YJU2,PHF11,RPAP1,TCF20,TBL1Y,USB1,WDR83,PAK1IP1,PHF23,TRIM21,SAP30BP,UBE2Z,PLPP6,RSRC1,YLPM1,EMG1,LGALS14,PYDC2,TMEM109,TOB1,ZMIZ2,ZNF704,TRMT6,UACA,ZBTB24,ZNF688,ZIM2,YY1AP1,ZNF593,ZMYM2,THYN1,TJP3,ZNF503,TXK,UFD1,ZUP1,ZFR,ZMYM5,ZXDA,ZMYM6,ZNF277,ZNF346,ZNF366,UBL4A,VXN,WDR55,ZNF22,ZNF613,TOX2,ZCCHC7,ZMAT5,UBLCP1,UBXN7,ZNF155,ZNF462,ZMAT3,ZNF687,ZNF821,PSMC6,PSMG2,SH3RF2,SFMBT1,SNAPC4,SPANXB1,TRMT10A,WDR4,ZNF622,UBE2W,ZFP91,ZNF576,ZNHIT1,ZMYM1,TXNL4B,UBASH3B,ZNF524,TXNL4A,ZNF581,WDR26,VEZT,XPO6,TMUB1,UBTF,PSMB5,VGLL3,TESK2,PLEKHA1,TCIM,UBE2E1,ZNF777,STK39,TRAPPC2B,THRSP,TRIM8,TRIP12,TUT4,USP48,ZNF335,UBQLN4,UPRT,PRPF18,TIAL1,TRIM22,VIRMA,ZNF512,ZC3H14,ZNF329,ZMYND15,PKP2,TOX,TUB,USP11,ZFC3H1,ZNF318,ZFP64,UHMK1,ZMAT4,ZNF106,SCML4,SNRNP48,TSEN15,SKAP1,SIVA1,TMEM38A,XRRA1,TIA1,UNC45A,METTL1,ZMYM3,ZRANB1,ZNF282,USP1,ZC3H13,YEATS2,ZMIZ1,TMA16,ZNF662,UBE2L3,UBE2Q1,ZC3H18,ZNF541,WWTR1,ZMAT2,ZNF296,TSN,TRERF1,TPX2,WBP2,DUSP18,KPNA4,CSNK1E,ADI1,RPS6KA2,LIN28A,LIMK1,MX1,MXRA8,NARF,NACAD,N4BP1,SLC4A1AP,MYPN,NMI,NMNAT1"
GO:MF,transcription coregulator activity,GO:0003712,TRUE,1.598009569600597e-42,41.7964206242634,491,1423,135,20246,"AKIRIN1,EWSR1,COPS5,AEBP2,ARID5A,CTBP1,CTBP2,CIITA,ANKRD1,AKIRIN2,GPS2,BCORL1,CAMTA2,CCND1,BCOR,DNAJB1,DYRK1B,ASXL1,BEND6,MLIP,LMO2,RCOR2,RCOR3,RBPMS,HCFC1,MAML1,HCFC2,NFKBIZ,MED12L,MED13L,MAML3,RUNX1T1,NAB1,NAB2,ZFPM2,JAZF1,LDB2,DDX54,C1D,NFKBIB,EID1,CBFA2T2,PER2,PCBD1,LCOR,PARK7,KCTD1,PIR,ZFPM1,MRTFB,NRIP1,MED12,CBFA2T3,NR0B2,MYOCD,LMCD1,NR0B1,PPARGC1A,MAML2,DDIT3,FHL3,BCLAF1,GON4L,EID2,ATF7IP,FIZ1,MAMSTR,MIDEAS,HSPA1A,PPRC1,IRF2BP1,PIAS2,TRIM27,SSBP3,PRKN,TADA2B,TADA1,NUPR1,NCOR1,RYBP,PHF12,PPARGC1B,SIN3B,SIAH2,RERE,TSC22D1,SUPT7L,MRTFA,TBL1XR1,ARID3A,ARID5B,CITED1,CITED2,CNOT2,TLE5,PIAS3,TBL1X,TRIM52,RNF14,ZXDB,ZNF653,USP21,ZXDC,UBE3A,UXT,SPEN,PBXIP1,SERTAD2,SAP30L,TRIB3,TRIM25,ZNF410,SUPT20H,SFMBT2,SUFU,YAF2,SCAI,TOX3,TBL1Y,TRIM21,TOB1,YY1AP1,ZXDA,ZNF366,TOX2,SFMBT1,TRIM8,TRIM22,YEATS2,ZMIZ1,UBE2L3,ZNF541,WWTR1,TRERF1,WBP2"
GO:MF,cyclin-dependent protein kinase activity,GO:0097472,TRUE,2.5953877228168858e-14,13.585797754076895,74,1423,31,20246,"CDK20,CDKN1A,CCNT2,CCND3,CDK5R1,CDK19,CCNO,CDKN2A,CCNI,CCNK,CCND1,CCNT1,CDKN2D,CCNL1,CDK13,CCNB3,CCNC,CCND2,CCNG1,HEXIM1,CDKL2,CDKL1,CDKN1C,CDK4,CCNL2,CCNA1,CCNA2,CDK8,CDKL5,INCA1,HEXIM2"
GO:MF,ubiquitin-like protein transferase activity,GO:0019787,TRUE,8.068362306619664e-12,11.09321460819938,515,1423,87,20246,"KCTD13,KCTD10,ANAPC11,BTRC,CDKN2A,BIRC3,BIRC7,ARIH2,BCOR,MKRN2,RNF7,RANBP2,PPIL2,NOSIP,ARIH1,MAEA,MALT1,DTX2,IRF2BPL,PIN1,PARK7,MED12,MEFV,RNF113A,CBLL1,ITCH,FBXO5,FBXL3,FBXO7,STUB1,FBXW7,CUL2,CDK8,IRF2BP1,PTEN,PIAS2,RFPL1,UBOX5,TRIM27,TRIM33,TRIM35,TRIM41,RMND5A,RNF38,PRKN,RNF151,RNF187,MDM2,RNF126,RNF13,RNF6,SIAH2,RPL5,MYCBP2,RNF220,PIAS3,SMURF2,TRIM52,RNF14,UBE2QL1,UBE3A,UBE2I,RNF112,RNF34,TRIB3,RNF4,RNF10,TRIM25,UBE2O,UBE2T,TTC3,RFPL3,TRIM26,TRIM21,UBE2Z,ZMIZ2,UBL4A,SH3RF2,UBE2W,ZFP91,UBE2E1,TRIM8,TRIP12,TRIM22,ZMIZ1,UBE2L3,UBE2Q1"
GO:MF,protein serine/threonine kinase activity,GO:0004674,TRUE,1.1105760972625151e-10,9.954451678007972,557,1423,89,20246,"AKT1,CDK20,CDKN1A,CCNT2,CCND3,CDK5R1,CDK19,CCNO,CIITA,CLK2,ALPK3,CDKN2A,CCNI,CCNK,CPNE3,CCND1,CCNT1,CDKN2D,CCNL1,BMP2K,CDK13,DYRK1B,CCNB3,MAP2K4,CCNC,CCND2,CCNG1,MAPK1,MAPK9,CASK,DAZAP2,INKA1,MAPKAPK2,MAPKAPK3,MAPK10,NEK1,INKA2,HIPK1,MAPK4,MAPK14,MAPK15,RPS6KA3,HEXIM1,NEK7,MAP3K2,NEK11,RPS6KA6,MOB1B,NLK,HIPK3,CDKL2,CDKL1,CDKN1C,CDK4,DBF4B,CCNL2,CCNA1,BRSK1,ELP4,CCNA2,CDK8,CDKL5,DYRK3,INCA1,MAP2K6,STRADA,STK40,SGK2,HEXIM2,PDIK1L,SMG1,SIK1,NUAK1,SRPK1,SNRK,CAMK1D,STK17A,TCL1A,CILK1,CAMK2N2,STK19,SPRED1,VRK3,TESK2,STK39,UHMK1,CSNK1E,RPS6KA2,LIMK1"
GO:MF,nucleocytoplasmic carrier activity,GO:0140142,TRUE,3.8403771413483316e-8,7.41562612397524,32,1423,16,20246,"RANBP17,RAN,KPNA3,IPO11,NUP42,KPNA2,HIKESHI,KPNB1,KPNA1,SNUPN,CSE1L,XPO4,TNPO2,XPO5,XPO6,KPNA4"
GO:MF,"catalytic activity, acting on RNA",GO:0140098,TRUE,0.000005267974501808178,5.278356335788994,411,1423,62,20246,"YBEY,DDX52,ALKBH8,ALKBH5,CMTR2,DTWD2,DDX27,DDX25,NSUN5,PARN,RNGTT,MEPCE,NUDT16,INTS11,METTL14,DDX54,DDX56,DDX59,DDX28,ISG20L2,ANG,DDX18,DDX31,DXO,METTL5,POP1,POP5,POP7,PUS10,PCIF1,DDX51,DDX50,DHX33,RNMT,DDX53,DDX3Y,DHX37,DTWD1,NOCT,RPP25,RPP40,TSEN2,TRMT5,PUS3,RPP38,POP4,SKIV2L,CNOT2,ZC3H12A,TSEN34,TUT1,RTCA,SLU7,DHX38,ELAC1,USB1,EMG1,ZCCHC4,TRMT10A,TUT4,METTL1,N4BP1"
GO:MF,tRNA-specific ribonuclease activity,GO:0004549,TRUE,0.000020189957773740776,4.694864589360003,17,1423,10,20246,"POP1,POP5,POP7,RPP25,RPP40,TSEN2,RPP38,POP4,TSEN34,ELAC1"
GO:MF,zinc ion binding,GO:0008270,TRUE,0.00023905182435870245,3.6215079375741563,861,1423,100,20246,"ZNF385A,ANAPC11,APOBEC3B,AKAP8,BNC2,ALKBH8,ARIH2,CDADC1,AGTPBP1,NANOS3,RNF7,RBM20,L3MBTL3,ARIH1,DTX2,ZFPM2,PEG10,L3MBTL4,MEFV,OTUD7A,DNAJC21,PHC3,PHF14,LMCD1,PRICKLE1,GATAD1,DBF4B,KPNB1,DUSP12,SCAPER,IKZF4,PIAS2,MSRB1,RTL3,TRIM27,TRIM33,TRIM35,TRIM41,PRKN,USP39,RNF151,SNRPC,TADA2B,GCH1,MDM2,SIAH2,S100B,MYCBP2,RERE,SOD1,SUPT4H1,CNBP,C11ORF54,PIAS3,TRIM52,ZC3HC1,RNF14,ZCCHC8,RNF112,SAP30L,RNF4,SLU7,TCEA3,TRAF4,TRIM26,ZNF385B,TRIM21,ZMIZ2,ZIM2,ZNF593,ZMYM2,ZFR,ZMYM5,ZMYM6,ZNF346,ZCCHC4,ZNF22,ZCCHC7,ZMAT5,ZCCHC9,ZMAT3,ZNF622,ZMYM1,ZNF407,TRIM8,TRIP12,TUT4,TRIM22,ZNF512,ZNF318,ZMAT4,SIVA1,ZNF638,ZMYM3,ZNF214,ZNF282,ZMIZ1,ZMAT1,ZMAT2,LIN28A"
GO:MF,enzyme-substrate adaptor activity,GO:0140767,TRUE,0.0009513573075598377,3.021656341571986,79,1423,19,20246,"A1CF,BTRC,APPBP2,DET1,RBM47,FEM1B,PDCD6,KLHDC10,FBXO38,FBXO7,AXIN1,CDK5RAP3,FBXW7,KLHDC2,RRAGC,PRAME,SKP2,TUT1,NMNAT1"
