"# Supplementary Table ST11. A list of SimChrom-SL proteins annotated with ""RNA processing"" category that are uniquely localized in the nucleus (NULOC_CS_UL).",,,,,,,,
Gene,Entry,Protein names,UniProt_f,HPA_f,OpenCell_f,SimChrom-SL,MS-based studies,"Abundance (PaxDB_PA), ppm"
DDX47,Q9H0S4,Probable ATP-dependent RNA helicase DDX47,Nucleolus (ECO:0000269),Nucleoli (Supported),nucleolus_gc (annotations_grade_3),RNA processing,"Alabert et al., 2014; Alvarez et al., 2023; Ginno et al., 2018; Kustatscher et al., 2014; Shi et al., 2021; Torrente et al., 2011; Ugur et al., 2023","43,1"
BUD13,Q9BRD0,BUD13 homolog,Nucleus (ECO:0000269),Nucleoplasm (Enhanced),,RNA processing,"Alabert et al., 2014; Alvarez et al., 2023; Ginno et al., 2018; Itzhak et al., 2016; Kustatscher et al., 2014; Shi et al., 2021; Ugur et al., 2023","25,5"
CDK12,Q9NYV4,Cyclin-dependent kinase 12,"Nucleus (ECO:0000269), Nucleus speckle (ECO:0000269)","Nuclear speckles (Enhanced), Nucleoplasm (Enhanced)","chromatin (annotations_grade_2), nuclear_punctae (annotations_grade_2), nucleoplasm (annotations_grade_3)",RNA processing,"Alabert et al., 2014; Alvarez et al., 2023; Ginno et al., 2018; Kustatscher et al., 2014; Shi et al., 2021","24,9"
AQR,O60306,RNA helicase aquarius,"Nucleoplasm (ECO:0000269), Nucleus (ECO:0000269)",Nucleoplasm (Enhanced),,RNA processing,"Alabert et al., 2014; Alvarez et al., 2023; Kustatscher et al., 2014; Shi et al., 2021; Torrente et al., 2011; Ugur et al., 2023","16,9"
DGCR8,Q8WYQ5,Microprocessor complex subunit DGCR8,"Nucleolus (ECO:0000269), Nucleus (ECO:0000269)","Nuclear bodies (Supported), Nucleoplasm (Supported)",,RNA processing,"Alvarez et al., 2023; Kustatscher et al., 2014; Shi et al., 2021","6,6"
DHX15,O43143,ATP-dependent RNA helicase DHX15,"Nucleolus (ECO:0000269), Nucleus (ECO:0000269)",Nuclear speckles (Enhanced),,RNA processing,"Alabert et al., 2014; Alvarez et al., 2023; Ginno et al., 2018; Kustatscher et al., 2014; Shi et al., 2021; Torrente et al., 2011; Ugur et al., 2023",147
DHX16,O60231,Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX16,"Nucleoplasm (ECO:0000269), Nucleus (ECO:0000269)",Nucleoplasm (Supported),,RNA processing,"Alabert et al., 2014; Alvarez et al., 2023; Kustatscher et al., 2014; Shi et al., 2021; Ugur et al., 2023","20,1"
CSTF2,P33240,Cleavage stimulation factor subunit 2 (CstF-64),Nucleus (ECO:0000269),"Nuclear bodies (Enhanced), Nucleoplasm (Enhanced)",,RNA processing,"Alabert et al., 2014; Alvarez et al., 2023; Ginno et al., 2018; Kustatscher et al., 2014; Shi et al., 2021; Torrente et al., 2011; Ugur et al., 2023",48
RBM10,P98175,RNA-binding protein 10 (S1-1),Nucleus (ECO:0000269),Nuclear speckles (Enhanced),chromatin (annotations_grade_3),RNA processing,"Alabert et al., 2014; Alvarez et al., 2023; Ginno et al., 2018; Itzhak et al., 2016; Kustatscher et al., 2014; Shi et al., 2021; Torrente et al., 2011; Ugur et al., 2023",46
RBM28,Q9NW13,RNA-binding protein 28,Nucleolus (ECO:0000269),Nucleoli (Enhanced),nucleolus_gc (annotations_grade_3),RNA processing,"Alabert et al., 2014; Alvarez et al., 2023; Ginno et al., 2018; Itzhak et al., 2016; Kustatscher et al., 2014; Shi et al., 2021; Ugur et al., 2023",27
RBM39,Q14498,RNA-binding protein 39 (CAPERalpha),Nucleus speckle (ECO:0000269),"Nuclear speckles (Supported), Nucleoplasm (Approved)",chromatin (annotations_grade_3),RNA processing,"Alabert et al., 2014; Alvarez et al., 2023; Ginno et al., 2018; Kustatscher et al., 2014; Shi et al., 2021; Torrente et al., 2011; Ugur et al., 2023",166
RBMX2,Q9Y388,"RNA-binding motif protein, X-linked 2",Nucleus (ECO:0000269),"Nuclear membrane (Supported), Nucleoli (Supported)",,RNA processing,"Alvarez et al., 2023; Ginno et al., 2018; Kustatscher et al., 2014; Shi et al., 2021","10,9"
LSM11,P83369,U7 snRNA-associated Sm-like protein LSm11,Nucleus (ECO:0000269),"Nuclear bodies (Supported), Nucleoplasm (Supported)",,RNA processing,"Ugur et al., 2023","0,739"
FUS,P35637,RNA-binding protein FUS (POMp75),Nucleus (ECO:0000269),Nucleoplasm (Supported),,RNA processing,"Alabert et al., 2014; Alvarez et al., 2023; Ginno et al., 2018; Itzhak et al., 2016; Shi et al., 2021; Torrente et al., 2011; Ugur et al., 2023",388
HNRNPM,P52272,Heterogeneous nuclear ribonucleoprotein M,Nucleolus (ECO:0000269),Nucleoplasm (Enhanced),,RNA processing,"Alabert et al., 2014; Alvarez et al., 2023; Ginno et al., 2018; Itzhak et al., 2016; Kustatscher et al., 2014; Shi et al., 2021; Torrente et al., 2011; Ugur et al., 2023",625
PLRG1,O43660,Pleiotropic regulator 1,"Nucleus (ECO:0000269), Nucleus speckle (ECO:0000269)","Nuclear membrane (Supported), Nuclear speckles (Supported), Nucleoli fibrillar center (Supported), Nucleoplasm (Supported)",,RNA processing,"Alabert et al., 2014; Alvarez et al., 2023; Ginno et al., 2018; Itzhak et al., 2016; Kustatscher et al., 2014; Shi et al., 2021; Torrente et al., 2011; Ugur et al., 2023","57,8"
COIL,P38432,Coilin (p80-coilin),"Cajal body (ECO:0000269), Nucleus (ECO:0000269)","Nuclear bodies (Supported), Nucleoli (Supported), Nucleoli fibrillar center (Supported), Nucleoplasm (Supported)","nuclear_punctae (annotations_grade_3), nucleoplasm (annotations_grade_2)",RNA processing,"Alabert et al., 2014; Alvarez et al., 2023; Ginno et al., 2018; Kustatscher et al., 2014; Shi et al., 2021; Ugur et al., 2023","16,8"
GPKOW,Q92917,G-patch domain and KOW motifs-containing protein,Nucleus (ECO:0000269),Nucleoplasm (Enhanced),,RNA processing,"Alabert et al., 2014; Alvarez et al., 2023; Ginno et al., 2018; Kustatscher et al., 2014; Shi et al., 2021; Torrente et al., 2011","35,6"
HNRNPH3,P31942,Heterogeneous nuclear ribonucleoprotein H3,Nucleus (ECO:0000269),Nucleoplasm (Supported),,RNA processing,"Alabert et al., 2014; Alvarez et al., 2023; Ginno et al., 2018; Itzhak et al., 2016; Shi et al., 2021; Torrente et al., 2011; Ugur et al., 2023",230
LUC7L3,O95232,Luc7-like protein 3 (Luc7A) (CREAP-1),Nucleus speckle (ECO:0000269),Nuclear speckles (Enhanced),,RNA processing,"Alabert et al., 2014; Alvarez et al., 2023; Ginno et al., 2018; Kustatscher et al., 2014; Shi et al., 2021; Torrente et al., 2011; Ugur et al., 2023",90
