# Supplementary Table ST15. List of Pfam domain models in chromatin proteins.,,,,,,
Entry,SimChrom-SL,Total number of Pfam domains,Number of distinct Pfam models,pfamA_ids,Domain annotations,Distinct domain annotations
P63128,DNA-acting enzymes,9,9,"RVP,RVT_1,Gag_p24,dUTPase,G-patch,Gag_p10,zf-CCHC_5,Gag_p24_C,zf-CCHC",,
O96028,Histone PTM writers,11,9,"HMG_box,PHD,PWWP,SET,C5HCH,AWS,NSD_PHD,PHDvar_NSD,PHD-1st_NSD","DNA binding;Histone binding;Histone methylation, reader;Histone methylation, reader;Histone methylation, reader;Histone methylation, reader;Histone methylation, reader;Histone methylation, reader;Histone methylation, reader;Histone methylation, reader;Histone methylation, writer","DNA binding;Histone binding;Histone methylation, reader;Histone methylation, writer"
Q96L73,Histone PTM writers,9,8,"PHD,PWWP,SET,C5HCH,AWS,NSD_PHD,PHDvar_NSD,PHD-1st_NSD","Histone binding;Histone methylation, reader;Histone methylation, reader;Histone methylation, reader;Histone methylation, reader;Histone methylation, reader;Histone methylation, reader;Histone methylation, reader;Histone methylation, writer","Histone binding;Histone methylation, reader;Histone methylation, writer"
Q6P2Q9,RNA processing,8,8,"JAB,PRO8NT,PROCN,PROCT,U6-snRNA_bdg,U5_2-snRNA_bdg,RRM_4,PRP8_domainIV",,
Q7KZ85,Histone chaperones,8,8,"S1,SPT6_acidic,SH2_2,HHH_7,YqgF,HTH_44,HHH_9,Tex_central_region",,
P63135,DNA-acting enzymes,8,8,"RNase_H,RVT_1,GP41,IN_DBD_C,rve,Integrase_Zn,RVT_thumb,HERV-K_env_2",,
Q14839,Chromatin remodelers,9,8,"Helicase_C,Chromo,PHD,CHDII_SANT-like,DUF1087,CHDNT,CHDCT2,SNF2-rel_dom","Chromatin remodeling;Chromatin remodeling;Histone methylation, reader;Histone methylation, reader;Histone methylation, reader","Chromatin remodeling;Histone methylation, reader"
Q12873,Chromatin remodelers,9,8,"Helicase_C,Chromo,PHD,CHDII_SANT-like,DUF1087,CHDNT,CHDCT2,SNF2-rel_dom","Chromatin remodeling;Chromatin remodeling;Histone methylation, reader;Histone methylation, reader;Histone methylation, reader","Chromatin remodeling;Histone methylation, reader"
P24928,RNA polymerases,45,8,"RNA_pol_Rpb1_2,RNA_pol_Rpb1_3,RNA_pol_Rpb1_7,RNA_pol_Rpb1_6,RNA_pol_Rpb1_1,RNA_pol_Rpb1_5,RNA_pol_Rpb1_4,RNA_pol_Rpb1_R",,
Q8TDI0,Histone PTM readers,9,8,"Helicase_C,Chromo,PHD,CHDII_SANT-like,DUF1087,CHDNT,CHDCT2,SNF2-rel_dom","Chromatin remodeling;Chromatin remodeling;Histone methylation, reader;Histone methylation, reader;Histone methylation, reader","Chromatin remodeling;Histone methylation, reader"
