# Supplementary Table ST16. Pfam domain models that are present in three or more chromatin/epigenetic regulator proteins.,,,,,,,,,,,
pfamA_id,pfamA_acc,pfamA_name,domain functional subgroup ,domain functional group ,SimChrom-SL ChromReg ,number of SimChrom proteins,number of ChromReg proteins,number of co-ocurring Pfam domain models in SimChrom proteins,number of co-ocurring Pfam domain models in ChromReg proteins,"number of SimChrom proteins, where the Pfam domain models co-occurs with other domain models","number of ChromReg proteins, where the Pfam domain models co-occurs with other domain models"
PF00628,PHD,PHD-finger,"Histone methylation, reader",Histone methylation,Histone PTM readers,42,35,49,45,42,35
PF00856,SET,SET domain,"Histone methylation, writer",Histone methylation,Histone PTM writers,32,32,40,40,32,32
PF00439,Bromodomain,Bromodomain,"Histone acetylation, reader",Histone acetylation,Histone PTM readers,32,27,43,38,32,27
PF00271,Helicase_C,Helicase conserved C-terminal domain,Chromatin remodeling,Chromatin remodeling,Chromatin remodelers,66,33,74,33,64,33
PF00176,SNF2-rel_dom,SNF2-related domain,Chromatin remodeling,Chromatin remodeling,Chromatin remodelers,32,32,31,31,32,32
PF00855,PWWP,PWWP domain,"Histone methylation, reader",Histone methylation,DNA de_methylation,18,16,28,28,18,16
PF02008,zf-CXXC,CXXC zinc finger domain,DNA binding,DNA binding,DNA de_methylation,12,12,18,18,12,12
PF00069,Pkinase,Protein kinase domain,"Histone phosphorylation, writer",Histone phosphorylation,Histone PTM writers,48,31,18,16,48,31
PF00385,Chromo,Chromo (CHRromatin Organisation MOdifier) domain,"Histone methylation, reader",Histone methylation,Histone PTM readers,23,23,16,16,23,23
PF02373,JmjC,"JmjC domain, hydroxylase","Histone methylation, eraser",Histone methylation,Histone PTM erasers,21,21,16,16,19,19
PF00249,Myb_DNA-binding,Myb-like DNA-binding domain,DNA binding,DNA binding,Chromatin remodelers,18,12,21,15,13,12
PF00505,HMG_box,HMG (high mobility group) box,DNA binding,DNA binding,Other,42,4,27,15,3,3
PF01426,BAH,BAH domain,"Histone methylation, reader",Histone methylation,DNA de_methylation,7,6,17,14,7,6
PF17907,AWS,AWS domain,Histone binding,Histone binding,Histone PTM writers,5,5,13,13,5,5
PF13832,zf-HC5HC2H_2,PHD-zinc-finger like domain,Other,Other,Histone modification,10,10,12,12,10,10
PF01429,MBD,Methyl-CpG binding domain,DNA methylation,DNA methylation,Methylated DNA binding,8,7,12,12,6,6
PF00096,zf-C2H2,"Zinc finger, C2H2 type",DNA binding,DNA binding,Other,600,15,27,11,600,15
PF05033,Pre-SET,Pre-SET motif,Other,Other,Histone PTM writers,7,7,11,11,7,7
PF02375,JmjN,jmjN domain,"Histone methylation, eraser",Histone methylation,Histone PTM erasers,10,10,9,9,10,10
PF00569,ZZ,"Zinc finger, ZZ type",Other,Other,Histone PTM readers,4,4,9,9,4,4
PF23011,PHD-1st_NSD,,"Histone methylation, reader",Histone methylation,Histone PTM writers,3,3,9,9,3,3
PF01388,ARID,ARID/BRIGHT DNA binding domain,DNA binding,DNA binding,Histone PTM erasers,8,8,8,8,8,8
PF22528,PRMT_C,,Dimerization/oligomerization,Dimerization/oligomerization,Histone PTM writers,8,8,8,8,8,8
PF04433,SWIRM,SWIRM domain,DNA binding,DNA binding,Histone PTM erasers,6,6,8,8,6,6
PF07533,BRK,BRK domain,Other,Other,Chromatin remodelers,5,5,8,8,5,5
PF17982,C5HCH,NSD Cys-His rich domain,"Histone methylation, reader",Histone methylation,Histone PTM writers,3,3,8,8,3,3
PF22908,NSD_PHD,,"Histone methylation, reader",Histone methylation,Histone PTM writers,3,3,8,8,3,3
PF23004,PHDvar_NSD,,"Histone methylation, reader",Histone methylation,Histone PTM writers,3,3,8,8,3,3
PF00145,DNA_methylase,C-5 cytosine-specific DNA methylase,DNA methylation,DNA methylation,DNA de_methylation,3,3,8,8,3,3
PF13831,PHD_2,PHD-finger,"Histone methylation, reader",Histone methylation,Histone modification,8,8,7,7,8,8
PF18104,Tudor_2,Jumonji domain-containing protein 2A Tudor domain,"Histone methylation, reader",Histone methylation,Histone PTM erasers,6,6,7,7,6,6
PF17811,JHD,Jumonji helical domain,Other,Other,Histone PTM erasers,5,5,7,7,5,5
PF13923,zf-C3HC4_2,"Zinc finger, C3HC4 type (RING finger)",Other,Other,Other,9,5,10,7,7,5
PF07529,HSA,HSA domain,DNA binding,DNA binding,Chromatin remodelers,4,4,7,7,4,4
PF07714,PK_Tyr_Ser-Thr,Protein tyrosine and serine/threonine kinase,"Histone phosphorylation, writer",Histone phosphorylation,Histone PTM writers,5,3,11,7,5,3
PF00454,PI3_PI4_kinase,Phosphatidylinositol 3- and 4-kinase,"Histone phosphorylation, writer",Histone phosphorylation,Histone PTM writers,4,3,9,7,4,3
PF02259,FAT,FAT domain,Other,Other,Histone PTM writers,4,3,9,7,4,3
PF02260,FATC,FATC domain,Other,Other,Histone PTM writers,3,3,7,7,3,3
PF06461,CHDII_SANT-like,"CHD subfamily II, SANT-like domain",Other,Other,Chromatin remodelers,3,3,7,7,3,3
PF06465,DUF1087,"CHD subfamily II, DUF1087",Other,Other,Chromatin remodelers,3,3,7,7,3,3
PF08073,CHDNT,CHDNT (NUC034) domain,Other,Other,Chromatin remodelers,3,3,7,7,3,3
