# Supplementary Table ST5. The SimChrom ontology and SimChrom/SimChrom-SL classification of chromatin proteins. ,,,,,
SimChrom category,Aspect,SimChrom proteins,Number of SimChrom proteins,SimChrom-SL proteins,Number of SimChrom-SL proteins
Histone tail cleavage,Molecular function,"P07711,P07339,P08311,P08246,P00367,P0C870,P12544,Q8N371,P14780,P24158",10,"P07711,P07339,P08311,P08246,P00367,P0C870,P12544,Q8N371,P14780,P24158",10
HMG_A/B/N,Physico-chemical properties,"P05114,Q8WW32,P17096,P26583,P09429,O15347,P52926,Q15651,O00479,P82970,P05204",11,"P05114,Q8WW32,P17096,P26583,P09429,O15347,P52926,Q15651,O00479,P82970,P05204",11
DNA de_methylation,Molecular function,"O43151,Q9C0B1,Q13686,Q8N3J2,Q9NXW9,Q6NS38,Q96Q83,Q8NFU7,Q9UJW3,P16455,Q9Y6K1,Q9UBC3,Q9Y5N5,P26358,Q6N021",15,"O43151,Q9C0B1,Q13686,Q8N3J2,Q9NXW9,Q6NS38,Q96Q83,Q9UJW3,P16455,Q9Y6K1,Q9UBC3,Q9Y5N5,Q8NFU7,P26358,Q6N021",15
Pioneer TFs,Molecular function,"Q16656,Q9Y261,Q13562,Q9UH73,P43694,Q01860,P04637,P55318,Q9BWX5,Q92908,P17947,P23759,P50553,P55317,O95718,P23771,P23769,P48431,P15976,P49715,O43474",21,"Q16656,Q9Y261,Q13562,Q9UH73,P43694,Q01860,P04637,P55318,Q9BWX5,Q92908,P17947,P23759,P50553,P55317,O95718,P23771,P23769,P48431,P15976,P49715,O43474",21
Other families with HMG-box domain,Molecular function,"O00570,Q9UN79,P56693,P21675,P36402,Q9Y651,Q9P0W2,P35711,P57073,Q9HCS4,Q9H6I2,B2RPK0,O60248,Q9BT81,Q9UJU2,P35713,Q06945,P41225,Q05066,P48436,Q9NP66,O60381,Q9NQB0,P35716,Q12766,P48431,Q9UGU5",27,"O00570,P56693,Q9UN79,P21675,P36402,Q9Y651,Q9P0W2,P35711,P57073,Q9HCS4,Q9H6I2,B2RPK0,O60248,Q9BT81,Q9UJU2,P35713,Q06945,P41225,Q05066,P48436,Q9NP66,O60381,Q9NQB0,P35716,Q12766,Q9UGU5",26
SMC complexes,Molecular function,"Q96MF7,Q9BQI6,Q15021,Q96MG7,Q86XI2,Q9UJ98,Q9NTJ3,Q96FC9,Q9UQE7,O95347,O95072,Q8IY18,Q9H4I0,Q8N3U4,Q6IBW4,Q8WV22,O60216,P42695,Q14683,Q15003,Q96SB8,Q562F6,Q8IX21,Q9BPX3,Q8WVM7,Q8N140,Q9NXX6,Q8NDV3",28,"Q96MF7,Q9BQI6,Q15021,Q96MG7,Q86XI2,Q9UJ98,Q9NTJ3,Q96FC9,Q9UQE7,O95347,O95072,Q8IY18,Q9H4I0,Q8N3U4,Q6IBW4,Q8WV22,O60216,P42695,Q14683,Q15003,Q96SB8,Q562F6,Q8IX21,Q9BPX3,Q8WVM7,Q8N140,Q9NXX6,Q8NDV3",28
Histone chaperones,Molecular function,"Q13112,Q8NCD3,Q86SE8,P46100,Q16576,Q9ULW6,Q99733,Q99457,P54198,Q96NT1,Q13111,Q9Y294,P49736,P06748,Q9NPG3,Q08945,O75607,Q9NVP2,Q7KZ85,P49321,Q9Y5B9,Q9Y6J0,P55209,Q96HA7,A6NFF2,Q68D10,Q8TEX9,P19338,Q15906,Q9BTT0,Q09028,Q9UER7",32,"Q13112,Q8NCD3,Q86SE8,P46100,Q16576,Q9ULW6,Q99733,P54198,Q99457,Q96NT1,Q13111,Q9Y294,P49736,P06748,Q9NPG3,O75607,Q08945,Q9NVP2,Q7KZ85,P49321,Q9Y5B9,Q9Y6J0,P55209,Q96HA7,A6NFF2,Q68D10,Q8TEX9,P19338,Q15906,Q9BTT0,Q09028,Q9UER7",32
Methylated DNA binding,Molecular function,"P59923,P51608,Q99626,O43151,Q86T24,Q9H0M4,P18146,Q8NHZ7,Q92826,P19544,Q7LFL8,Q9Y3Y2,O95983,Q96T88,Q9UFC0,Q8WWY6,P47902,Q9UIS9,A6NJ08,Q969G2,A6NE82,P84090,Q9BQA1,A0A1B0GVZ6,Q9ULJ3,A6NDZ8,O14744,Q99873,Q9UBB5,Q9H2H0,Q9P1Z0,Q8NAP3,Q8NFU7,P26358",34,"P59923,P51608,Q99626,Q86T24,Q9H0M4,P18146,Q8NHZ7,Q92826,P19544,Q7LFL8,Q9Y3Y2,O95983,Q96T88,Q9UFC0,Q8WWY6,P47902,Q9UIS9,A6NJ08,Q969G2,A6NE82,P84090,Q9BQA1,A0A1B0GVZ6,Q9ULJ3,A6NDZ8,Q9UBB5,Q9H2H0,Q9P1Z0,Q8NAP3",29
RNA polymerases,Molecular function,"O75575,O14802,P30876,P05423,Q9NVU0,P0DPB6,P53803,P19388,Q9H1D9,O15318,P36954,P24928,O15160,Q9H9Y6,Q9H1A7,P62875,P19387,P62487,Q9BT43,Q9P1U0,Q9NW08,O15514,Q9BUI4,P52435,P61218,Q3B726,O95602,Q9Y535,Q9GZM3,O15446,Q9Y2Y1,Q9GZS1,P0CAP2,P52434",34,"O75575,O14802,P30876,P05423,Q9NVU0,P0DPB6,P53803,P19388,Q9H1D9,O15318,P36954,P24928,O15160,Q9H9Y6,Q9H1A7,P62875,P19387,P62487,Q9BT43,Q9P1U0,O15514,Q9BUI4,P52435,P61218,Q3B726,O95602,Q9Y535,Q9GZM3,O15446,Q9Y2Y1,P52434,Q9GZS1,P0CAP2,Q9NW08",34
HMG,Molecular function,"P05114,O00570,Q15651,Q9UN79,P56693,P36402,P21675,Q9Y651,Q9P0W2,P35711,P57073,Q9HCS4,P17096,P09429,O15347,Q9H6I2,B2RPK0,O60248,Q8WW32,Q9BT81,Q9UJU2,P52926,P35713,Q06945,O00479,P41225,Q05066,P48436,Q9NP66,O60381,Q9NQB0,P35716,Q12766,P48431,P26583,Q9UGU5,P82970,P05204",38,,0
